artist_all,artist_base,rank,song,year,artist_featured,song_clean,artist_clean,lyrics,acousticness,danceability,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,tempo,time_signature,valence,duration_min,num_words,words_per_sec,num_uniq_words,decade,uniq_ratio,artist,link,text,id,type,uri,track_href,analysis_url,duration_ms,violence_content_count,violence_avg_severity,drug_content_count,drug_avg_severity,hate_speech_content_count,hate_speech_avg_severity,profanity_content_count,profanity_avg_severity,mental_slurs_content_count,mental_slurs_avg_severity,religious_slurs_content_count,religious_slurs_avg_severity,racial_slurs_content_count,racial_slurs_avg_severity,sexual_content_content_count,sexual_content_avg_severity
the isley brothers,the isley brothers,27.0,fight the power,1975.0,,fight the power,the isley brothers,time is truly wastin theres no guarantee yeah smile is in the makin we got to fight the powers that be got so many voices saying all the same yeah killing up all around me faces full of pain i tried to play my music they say my musics too loud i tried talking about it i got the big runaround and when i rolled with the punches i got knocked on the ground by all this bullshit going down hey time is truly wastin theres no guarantee yeah smile is in the makin we got to fight the powers that be i dont understand it people wanna say yeah those that got the answers red tape in the way i could tend to it easy lets just have some fun naw naw seekin my satisfaction keeps me on the run i tried to play my music say my musics too loud i tried talking about it i got the big runaround and when i rolled with the punches i got knocked on the ground by all this bullshit going down oooh time is truly wastin theres no guarantee yeah smile is in the makin we got to fight the powers that be fight it baby yeah woo hey even you and i can fight the power fight it fight the power,0.0619,0.7929999999999999,0.772,1.0,0.00993,11.0,0.0749,-7.28,0.0,51.0,1999,0.146,126.443,4.0,0.775,5.312216666666667,222.0,0.6965077353145109,91.0,1970.0,2.43956043956044,,,,,,,,,,46,0.05945838775116262,17,0.03743562754928408,7,0.2856036509952641,10,0.1989555741311051,25,0.05952722580637783,0,0.0,1,0.012325194664299488,5,0.39730160038452594
prince and the revolution,prince and the revolution,21.0,let's go crazy,1984.0,,lets go crazy,prince and the revolution, dearly beloved we are gathered here today to get through this thing called life electric word life it means forever and thats a mighty long time but im here to tell you theres something else the afterworld a world of never ending happiness you can always see the sun day or night so when you call up that shrink in beverly hills you know the one dr everythingll be alright instead of asking him how much of your time is left ask him how much of your mind baby cause in this life things are much harder than in the after world in this life youre on your own and if de elevator tries to bring you down go crazy woo if you dont like the world youre living in take a look around at least you got friends you see i called my old lady for a friendly word she picked up the phone dropped it on the floor is all i heard are we gonna let de elevator bring us down oh no lets go lets go crazy lets get nuts lets look for the purple banana until they put us in the truck lets go were all excited but we dont know why maybe its cause were all gonna die and when we do you better live now before the grim reaper come knocking on your door tell me are we gonna let de elevator bring us down oh no lets go lets go crazy lets get nuts look for the purple banana until they put us in the truck lets go cmon baby lets get nuts yeah lets go crazy are we gonna let the elevator bring us down oh no lets go go lets go dr everythingll be alright will make everything go wrong pills and thrills and daffodils will kill hang tough children hes coming hes coming coming take me away ,0.0192,0.309,0.93,1.0,0.0022,11.0,0.106,-6.399,1.0,64.0,1984-06-25,0.125,195.815,4.0,0.376,4.666666666666667,317.0,1.1321428571428571,158.0,1980.0,2.0063291139240507,,,,,,,,,,60,0.1120745072044277,39,0.12842570210490614,9,0.0692074917929454,20,0.12694436775636858,63,0.17655863030351668,0,0.0,7,0.11913719621952623,38,0.0971808783360757
emf,emf,6.0,unbelievable,1991.0,,unbelievable,emf, you burden me with your questions youd have me tell no lies youre always asking what its all about but dont listen to my replies you say to me i dont talk enough but when i do im a fool these times ive spent ive realized im going to shoot through and leave you the things you say your purple prose just gives you away the things you say youre unbelievable you burden me with your problems by telling me more than mine im always so concerned with the way you say youve always go to stop to think of us being one is more than i ever know but this time i realize im going to shoot through and leave you the things you say your purple prose just gives you away the things you say youre unbelievable seemingly lastless dont mean you can ask us pushing down the relative bringing out your higher self think of the fine times pushing down the better few instead of bringing out the clues to what the world and everything anger to brace yourself with the grace of ease i know this world aint what it seems its unbelievable you burden me with your questions youd have me tell no lies youre always asking what its all about but dont listen to my replies you say to me i dont talk enough but when i do im a fool these times ive spent ive realized im going to shoot through and leave you the things you say your purple prose just gives you away the things you say youre unbelievable youre so unbelievable youre unbelievable its unbelievable youre unbelievable,0.000341,0.637,0.8490000000000001,1.0,0.0386,1.0,0.141,-6.855,1.0,60.0,1991-05-07,0.0362,104.074,4.0,0.936,3.4968833333333333,277.0,1.3202232464146646,101.0,1990.0,2.742574257425743,,,,,,,,,,47,0.09237805214596595,16,0.09503157210565405,10,0.1279220818192698,23,0.0033095421714951162,40,0.07324712102563354,0,0.0,6,0.20904221991077065,13,0.017500136490875427
tesla,tesla,73.0,signs,1991.0,,signs,tesla,and the sign says long hair freaky people need not apply so i put my hair under my hat and i went in to ask him why he said you look like a fine outstanding young man i think youll do so i took off my hat i said imagine that huh me working for you signs signs everywhere theres signs fucking up the scenery breaking my mind do this dont do that cant you read the sign and the sign says anybody caught trespassing will be shot on sight so i jumped the fence and i yelled at the house hey what gives you the right to put up a fence and keep me out or to keep mother nature in if god was here hed tell it to your face man youre some kind of sinner signs signs everywhere theres signs fucking up the scenery breaking my mind do this dont do that cant you read the sign oh say now mister cant you read you got to have a shirt and tie to get a seat you cant watch no you cant eat you aint supposed to be here and the sign says you got to have a membership card to get inside huh and the sign says everybody welcome come in kneel down and pray but then they passed around a plate at the end of it all and i didnt have a penny to pay so i got me a pen and paper and i made up my own little sign i said thank you lord for thinking about me im alive and doing fine signs signs everywhere theres signs fucking up the scenery breaking my mind do this dont do that cant you read the sign signs signs everywhere theres signs fucking up the scenery breaking my mind do this dont do that cant you read the sign,0.035,0.352,0.8079999999999999,1.0,0.0,7.0,0.991,-8.097000000000001,1.0,50.0,2001-01-01,0.0425,162.096,4.0,0.485,3.2333333333333334,314.0,1.618556701030928,139.0,1990.0,2.258992805755396,,,,,,,,,,59,0.09264799236848761,29,0.019462961944398182,15,0.32557593858412776,24,0.18095649551347984,55,0.09841944090069525,0,0.0,2,0.02431519143283367,15,0.2952852788303668
sir mix-a-lot,sir mix-a-lot,2.0,baby got back,1992.0,,baby got back,sir mix a lot, oh my god becky look at her butt it is so big she looks like one of those rap guys girlfriends who understands those rap guys they only talk to her because she looks like a total prostitute okay i mean her butt its just so big ugh i cant believe its just so round its like out there i mean ugh gross look shes just so black i like big butts and i cannot lie you other brothers cant deny that when a girl walks in with an itty bitty waist and a round thing in your face you get sprung wanna pull up tough cause you notice that butt was stuffed deep in the jeans shes wearin im hooked and i cant stop starin oh baby i wanna get witcha and take your picture my homeboys tried to warn me but that butt you got makes oh rump o smooth skin you say you wanna get in my benz well use me use me cause you aint that average groupie ive seen em dancin to hell with romancin shes wet wet got it goin like a turbo vette im tired of magazines sayin flat butts are the thing take the average black man and ask him that she gotta pack much back so fellas tell em to shake it shake that healthy butt baby got back baby got back i like em round and big and when im throwin a gig i just cant help myself im actin like an animal now heres my scandal i wanna get you home and ugh double up ugh ugh i aint talkin bout playboy cause silicone parts are made for toys i want em real thick and juicy so find that juicy double mix a lots in trouble beggin for a piece of that bubble so im lookin at rock videos knock kneed bimbos walkin like hoes you can have them bimbos ill keep my women like flo jo a word to the thick soul sistas i wanna get witcha i wont cuss or hit ya but i gotta be straight when i say i wanna til the break of dawn baby got it goin on a lot of simps wont like this song cause them punks like to hit it and quit it and id rather stay and play cause im long and im strong and im down to get the friction on so ladies then turn around stick it out even white boys got to shout baby got back baby got back yeah baby when it comes to females cosmo aint got nothin to do with my selection 36 24 36 ha ha only if shes 53 so your girlfriend rolls a honda playin workout tapes by fonda but fonda aint got a motor in the back of her honda my anaconda dont want none unless youve got buns hun you can do side bends or sit ups but please dont lose that butt some brothers wanna play that hard role and tell you that the butt aint gold so they toss it and leave it and i pull up quick to retrieve it so cosmo says youre fat well i aint down with that cause your waist is small and your curves are kickin and im thinkin bout stickin to the beanpole dames in the magazines you aint it miss thing give me a sista i cant resist her red beans and rice didnt miss her some knucklehead tried to diss cause his girls are on my list he had game but he chose to hit em and i pull up quick to get wit em so ladies if the butt is round and you want a triple x throwdown dial 1 900 mix a lot and kick them nasty thoughts baby got back baby got back little in the middle but she got much back ,0.00391,0.936,0.76,1.0,3.39e-06,1.0,0.0394,-7.872999999999999,1.0,62.0,2013-01-01,0.282,128.47899999999998,4.0,0.657,4.347783333333334,648.0,2.484024426240192,296.0,1990.0,2.189189189189189,,,,,,,,,,103,0.05415652086506191,51,0.05176612517714281,37,0.2984585663338343,42,0.30215851719480097,98,0.07097411222877076,0,0.0,9,0.16447442542347643,24,0.14129639234791588
ugly kid joe,ugly kid joe,72.0,everything about you,1992.0,,everything about you,ugly kid joe, are you those guys on the beach that hate everything eww is this some sort of hip music that i dont understand i hate the rain and sunny weather and i i hate beach and mountains too boo hoo and i dont like a thing about the city no no and i i i hate the countryside too and i hate everything about you everything about you and i dont like a thing about your mother and i i hate your daddys guts too boo hoo and i dont like a thing about your sister no no cause i i i think sex is overrated too and i get sick when im around i cant stand to be around i hate everything about you everything about you everything about you everything about you some say ive got a bad attitude but that dont change the way i feel about you and if you think this might be bringing me down look again cause i aint wearing no frown well i dont really care about your sister forget the little bitch cause i already kissed her one thing that i did to your lady i put her on the bed and she didnt say maybe i know you know everybody knows the way it comes the way its gonna go you think its sad well thats too bad cause im havin a ball hatin every little thing about you ha ha everything about you everything about i get sick when im around i cant stand to be around i hate everything abou u u ut you ,0.00878,0.494,0.8170000000000001,1.0,2.26e-06,1.0,0.0958,-8.408999999999999,1.0,53.0,1998-01-01,0.0516,122.671,4.0,0.755,4.252666666666666,265.0,1.0385640382505097,108.0,1990.0,2.453703703703704,,,,,,,,,,41,0.16297725752768358,10,0.0497413189499639,5,0.22673909385921434,22,0.28238363414261997,25,0.11709699977654964,0,0.0,1,0.9947314262390137,16,0.15012491715606302
n2deep,n2deep,78.0,back to the hotel,1992.0,,back to the hotel,n2deep, v town brother check it out im bout to throw down dank in hand the shit that has you toe down a little city chillin in the north bay needless to say my boys dont play fool yorker sidin you know how the song goes in the back sippin purple chongos dont look for trouble but it always seems to find us forty grippin panty sippin and it sneaks up right behind us quick left one blow k o hit the road to the next episode in the saga of a few fellas oh what the hell i guess i better tell ya its friday night i got a brand new kit on a fifth of heem for me to get bent on hit the country club to pick up m l eighty west back to the hotel at the telly vogues is doing pipe work johnny z had his hand up a miniskirt the latte in the corner started to flirt and i knew that when she saw me baby doll was gonna jaw me set for the night so i took her to my ride grab my mickey and my buddha and i met her outside who ride rolling striking through to be seen a lexus 400 turnin triple gold zeens acid in my bottle so i gotta get some more put the pedal to the metal back to the liquor store cause you know what i mean when im feelin kinda funky a sick honky straight goin donkey money in my sock jimmy in the glove layin in the lexus im about to make good love and burn rubber up the block back to the telly i gotta get some new cock new cock aw naw could it be i just got a page an a broad wanna do me hooked it up told her meet me at the hotel she had a friend with her so i called tl swoop me up sally wanna meet dick and might lick so try an make it real quick aw yeah i jumped in the l train but wait a minute we gotta hit the store mayne i got to get some gum and some tic tacs two tall cans and a packet of blackjacks we got the goods now were headin for the hoedown there goes the telly so fella wont you slow down park the ride in the front like a sick one just in case we gotta bust a quick one lock the load lets go look for like 118 but lay low cause i really dont wanna be seen aw yeah thats the right one i got the black broad and you got the white one so hit the light man i just might man try an throw this thing all night an get her so sprung that shell drop some mail so i can cut turf and hit another hotel,0.000168,0.69,0.38,1.0,0.000533,9.0,0.136,-12.845,1.0,49.0,1992-06-01,0.0609,201.697,4.0,0.305,5.071333333333333,486.0,1.5972130932036284,258.0,1990.0,1.8837209302325584,,,,,,,,,,85,0.09109375831150614,43,0.10432097110437057,22,0.10399026567624374,34,0.21501208640128264,90,0.09543203082414241,0,0.0,9,0.011017438399398493,30,0.16459771349133615
onyx,onyx,37.0,slam,1993.0,,slam,onyx, slam da duh duh da duh duh let the boys be boys slam da duh duh da duh duh make noise b boys well it s another one in the gutter one ghetto running em troublesome extra double dumb i come to beat em defeat em and mistreat em so what if that i m cheating now everybody wanna sound grimey i ma show ya how come on all in together now yeah oh yeah yeah that s how it gotta be so stop trying to be loud as me cause you cant do that think about it playing russian roulette with an automatic i bet my ass against the line the last bullet s first on line stab and step and repping and run packing a weapon is wild peace to the brothers on rikers isle tough enough and trembling blend in like a chameleon buck bye tough guy oh my god i m so high cause they say i rhyme they say i look like a gremlin but what does it take to make a kid make a million children slam slam da duh duh da duh duh let the boys be boys slam da duh duh da duh duh make noise b boys slam da duh duh da duh duh let the boys be boys slam da duh duh da duh duh make noise b boys i m the nitty nasty gritty smashing never slow gassing strictly swift blast of the raspy rasp fashion that i provide i abide the u s g besides the ghetto vibe make me flip like jekyll and hyde of course i come across with the pure for sure unadulterated uncut raw disgusted busted you wanna touch it too hot you forgot you re not ready your head could get ruptured hit between the eyes i plan to vandalize i supply the static i run with the bad guys the villains crooks highlighters and the fighters see the big black picture if you look inside of my mind it s graphic expressed it drastic so kill the copycat act kid it s all mastered directed it when yall least expected it and thought it was safe onyx hit you in the face so slam slam da duh duh da duh duh let the boys be boys slam da duh duh da duh duh make noise b boys slam da duh duh da duh duh let the boys be boys slam da duh duh da duh duh make noise b boys i m a b boy standing in my b boy stance hurry up and give me the microphone before i bust in my pants the mad author of anguish my language polluted onyx is heavyweight and still undisputed you took the words right out my mouth now walk a mile in my shoes i paid so many dues i feel used and abused and i m so confused excuse me for example i m an inspiration of a whole generation and unless you got ten sticky fingers it s an imitation a figment of your imagination bu bu bu but wait it gets worse i m not watered down so i m dying of thirst coming through with a scam foolproof plan b boys make some noise and just just slam slam da duh duh da duh duh let the boys be boys slam da duh duh da duh duh make noise b boys slam da duh duh da duh duh let the boys be boys slam da duh duh da duh duh make noise b boys slam da duh duh da duh duh let the boys be boys slam da duh duh da duh duh make noise b boys let the boys be boys slam da duh duh da duh duh make noise b boys slam ,0.0706,0.879,0.6920000000000001,1.0,0.00426,4.0,0.915,-12.958,1.0,57.0,1993-03-30,0.352,98.329,4.0,0.804,3.6417833333333336,635.0,2.9060853885687874,253.0,1990.0,2.509881422924902,,,,,,,,,,82,0.07495810713110741,57,0.07182868839886955,21,0.13831158617644437,26,0.09076551939450347,86,0.09653225273562617,0,0.0,8,0.1067493979644496,21,0.07373261016272452
prince  and  the new power generation,prince,52.0,7,1993.0,,7,prince, all 7 and well watch them fall they stand in the way of love and we will smoke them all with an intellect and a savoir faire no one in the whole uni will ever compare i am yours now and you are mine and together well love through all space and time so dont cry one day all 7 will die and i saw an angel come down unto me in her hand she holds the very key words of compassion words of peace and in the distance an armys marching feet but behold we will watch them fall and we lay down on the sand of the sea and before us animosity will stand and decree that we speak not of love only blasphemy and in the distance 6 others will curse me but thats alright and we will see a plague and a river of blood and every evil soul will surely die in spite of their 7 tears but do not fear for in the distance 12 souls from now you and me will still be here we will still be here there will be a new city with streets of gold the young so educated they never grow old and a there will be no death for with every breath the voice of many colors sings a song thats so bold sing it while we watch them fall ,0.0917,0.747,0.7490000000000001,1.0,0.0,9.0,0.0444,-6.255,1.0,49.0,1992-10-13,0.0563,100.722,4.0,0.563,5.174449999999999,233.0,0.7504823378974256,125.0,1990.0,1.864,,,,,,,,,,33,0.1606081981180151,20,0.13878413044731133,14,0.011430409225535445,19,0.05272710129103966,27,0.19270324341400905,2,0.26264287531375885,1,0.0008701144834049046,13,0.06110033824090631
2pac,2pac,56.0,i get around,1993.0,,i get around,2pac, round and round round we go round and round still clown with the underground when we come around round and round round we go round and round back to get wrecked all respect to those who break their neck to keep their hoes in check cause oh they sweat a brother majorly and i dont know why your girl keeps pagin me she tell me that she needs me cries when she leaves me and every time she sees me she squeeze me lady take it easy hate to sound sleazy but tease me i dont want it if its that easy ayo bust it baby got a problem saying bye bye just another hazard of a fly guy you ask why dont matter my pockets got fatter now everybodys lookin for the latter and aint no need in being greedy if you wanna see me dial the beeper number baby when you need me and ill be there in a jiffy dont be picky just be happy with this quickie but when you learn you cant tie me down baby doll check it out i get around what you mean you dont know round and round around we go i get around the underground just dont stop for hoes round and round i get around still down with the underground round and round around we go i get around yeah ayo shock let them hoes know round and round now you can tell from my everday fits i aint rich so cease and desist with them tricks tryna make a dollar out of 15 cents just cause im a freak dont mean that we could hit the sheets baby i can see that you dont recognize me im shock g the one who put the satin on your panties never knew a hooker that could share me i get around well ive been hangin sangin tryna do my thang oh you heard that i was bangin your homegirl you went to school with thats cool but did she tell you about her sister and your cousin thought i wasnt see weekends were made for michelob but its a monday my day so just let me hit it yo and dont mistake my statement for a clown we can keep in the down low long as you know that i get around round and round around we go 2pacalypse now dont stop for hoes i get around round and round round and round around we go why i aint call you hahahah please round and round finger tips on the hips as i dip gotta get a tight grip dont slip loose lips sink ships its a trip i love the way she licks her lips see me jockin put a little twist in her hips cause im watchin conversations on the phone til the break of dawn now were all alone why the lights on turn them off time to set it off get you wet and soft somethin is on your mind let it off you dont know me you just met me you wont let me well if i couldnt have it why you sweatin me its a lot of real gs doin time cause a groupie bent the truth and told a lie you picked the wrong guy baby if youre too fly you need to hit the door search for a new guy cause i only got one night in town break out or be clowned baby doll are you down i get around round and round around we go round and round around we go uhh round and round around we go round and round around we go round and round round we go round and round round we go round and round round we go whoa round and round we go round and round round and round round and round round and round,0.157,0.8490000000000001,0.422,1.0,1.19e-05,10.0,0.255,-13.95,0.0,65.0,1993-02-16,0.122,96.216,4.0,0.624,4.316666666666666,650.0,2.509652509652509,251.0,1990.0,2.589641434262948,,,,,,,,,,179,0.04941769948719569,63,0.07466327058177234,19,0.03070987047823636,39,0.05402305308514489,116,0.07243164635417934,0,0.0,4,0.09337041768594645,51,0.11546110635048107
